74					
0	0	1	10	20	30
1	1	2	10	20	30
2	2	3	10	20	30
3	3	4	10	20	30
4	4	5	10	20	30
5	5	6	10	20	30
6	6	7	10	20	30
7	7	8	10	20	30
8	8	9	10	20	30
9	9	10	10	20	30
10	10	11	10	20	30
11	11	12	10	20	30
12	12	13	10	20	30
13	13	14	10	20	30
14	14	15	10	20	30
15	15	16	10	20	30
16	16	17	10	20	30
17	17	18	10	20	30
18	18	19	10	20	30
19	19	20	10	20	30
20	20	21	10	20	30
21	21	22	10	20	30
22	22	23	10	20	30
23	23	24	10	20	30
24	25	26	10	20	30
25	26	27	10	20	30
26	27	28	10	20	30
27	28	29	10	20	30
28	29	30	10	20	30
29	30	31	10	20	30
30	31	32	10	20	30
31	32	33	10	20	30
32	33	34	10	20	30
33	34	35	10	20	30
34	35	36	10	20	30
35	36	37	10	20	30
36	37	38	10	20	30
37	38	39	10	20	30
38	39	40	10	20	30
39	40	41	10	20	30
40	41	42	10	20	30
41	42	43	10	20	30
42	43	44	10	20	30
43	44	45	10	20	30
44	45	46	10	20	30
45	46	47	10	20	30
46	47	48	10	20	30
47	48	49	10	20	30
48	0	25	10	20	30
49	1	26	10	20	30
50	2	27	10	20	30
51	3	28	10	20	30
52	4	29	10	20	30
53	5	30	10	20	30
54	6	31	10	20	30
55	7	32	10	20	30
56	8	33	10	20	30
57	9	34	10	20	30
58	10	35	10	20	30
59	11	36	10	20	30
60	12	37	10	20	30
61	13	38	10	20	30
62	14	39	10	20	30
63	15	40	10	20	30
64	16	41	10	20	30
65	17	42	10	20	30
66	18	43	10	20	30
67	19	44	10	20	30
68	20	45	10	20	30
69	21	46	10	20	30
70	22	47	10	20	30
71	23	48	10	20	30
72	24	49	10	20	30
73	0	50	10	20	30
74	24	51	10	20	30
