GSM after accounting Member 0
0	2.00	0.00	0.00	-2.00	0.00	0.00	0.00	0.00	0.00
1	0.00	96.00	24.00	0.00	-96.00	24.00	0.00	0.00	0.00
2	0.00	24.00	8.00	0.00	-24.00	4.00	0.00	0.00	0.00
3	-2.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
4	0.00	-96.00	-24.00	0.00	96.00	-24.00	0.00	0.00	0.00
5	0.00	24.00	4.00	0.00	-24.00	8.00	0.00	0.00	0.00
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

GSM after accounting Member 1
0	2.00	0.00	0.00	-2.00	0.00	0.00	0.00	0.00	0.00
1	0.00	96.00	24.00	0.00	-96.00	24.00	0.00	0.00	0.00
2	0.00	24.00	8.00	0.00	-24.00	4.00	0.00	0.00	0.00
3	-2.00	0.00	0.00	4.00	0.00	0.00	-2.00	0.00	0.00
4	0.00	-96.00	-24.00	0.00	192.00	0.00	0.00	-96.00	24.00
5	0.00	24.00	4.00	0.00	0.00	16.00	0.00	-24.00	4.00
6	0.00	0.00	0.00	-2.00	0.00	0.00	2.00	0.00	0.00
7	0.00	0.00	0.00	0.00	-96.00	-24.00	0.00	96.00	-24.00
8	0.00	0.00	0.00	0.00	24.00	4.00	0.00	-24.00	8.00

GSM before accounting for Supports
0	2.00	0.00	0.00	-2.00	0.00	0.00	0.00	0.00	0.00
1	0.00	96.00	24.00	0.00	-96.00	24.00	0.00	0.00	0.00
2	0.00	24.00	8.00	0.00	-24.00	4.00	0.00	0.00	0.00
3	-2.00	0.00	0.00	4.00	0.00	0.00	-2.00	0.00	0.00
4	0.00	-96.00	-24.00	0.00	192.00	0.00	0.00	-96.00	24.00
5	0.00	24.00	4.00	0.00	0.00	16.00	0.00	-24.00	4.00
6	0.00	0.00	0.00	-2.00	0.00	0.00	2.00	0.00	0.00
7	0.00	0.00	0.00	0.00	-96.00	-24.00	0.00	96.00	-24.00
8	0.00	0.00	0.00	0.00	24.00	4.00	0.00	-24.00	8.00

GSM after accounting for Supports
0	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
3	0.00	0.00	0.00	4.00	0.00	0.00	-2.00	0.00	0.00
4	0.00	0.00	0.00	0.00	192.00	0.00	0.00	-96.00	24.00
5	0.00	0.00	0.00	0.00	0.00	16.00	0.00	-24.00	4.00
6	0.00	0.00	0.00	-2.00	0.00	0.00	2.00	0.00	0.00
7	0.00	0.00	0.00	0.00	-96.00	-24.00	0.00	96.00	-24.00
8	0.00	0.00	0.00	0.00	24.00	4.00	0.00	-24.00	8.00

Inverted Matrix
0	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
3	0.00	0.00	0.00	4.00	0.00	0.00	-2.00	0.00	0.00
4	0.00	0.00	0.00	0.00	192.00	0.00	0.00	-96.00	24.00
5	0.00	0.00	0.00	0.00	0.00	16.00	0.00	-24.00	4.00
6	0.00	0.00	0.00	-2.00	0.00	0.00	2.00	0.00	0.00
7	0.00	0.00	0.00	0.00	-96.00	-24.00	0.00	96.00	-24.00
8	0.00	0.00	0.00	0.00	24.00	4.00	0.00	-24.00	8.00

Check Matrix
0	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
3	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
4	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
5	0.00	0.00	0.00	0.00	-0.00	1.00	0.00	-0.00	0.00
6	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
7	0.00	0.00	0.00	0.00	-0.00	0.00	0.00	1.00	0.00
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00

