51		
0	0.015	3.000
1	0.348	2.975
2	0.682	2.950
3	1.015	2.925
4	1.348	2.900
5	1.682	2.875
6	2.015	2.850
7	2.348	2.825
8	2.682	2.800
9	3.015	2.775
10	3.348	2.750
11	3.682	2.725
12	4.015	2.700
13	4.348	2.675
14	4.682	2.650
15	5.015	2.625
16	5.348	2.600
17	5.682	2.575
18	6.015	2.550
19	6.348	2.525
20	6.682	2.500
21	7.015	2.475
22	7.348	2.450
23	7.682	2.425
24	8.015	2.400
25	0.000	2.801
26	0.333	2.776
27	0.667	2.751
28	1.000	2.726
29	1.333	2.701
30	1.667	2.676
31	2.000	2.651
32	2.333	2.626
33	2.667	2.601
34	3.000	2.576
35	3.333	2.551
36	3.667	2.526
37	4.000	2.501
38	4.333	2.476
39	4.667	2.451
40	5.000	2.426
41	5.333	2.401
42	5.667	2.376
43	6.000	2.351
44	6.333	2.326
45	6.667	2.301
46	7.000	2.276
47	7.333	2.251
48	7.667	2.226
49	8.000	2.201
50	0.015	0.000
51	8.015	0.000
