84		
0	0	0
1	0	3
2	0	6
3	0	9
4	0	13
5	0	16
6	0	19
7	0	22
8	0	25
9	8	0
10	8	3
11	8	6
12	8	9
13	8	13
14	8	16
15	8	19
16	8	22
17	8	25
18	13	0
19	13	3
20	13	6
21	13	9
22	13	13
23	13	16
24	13	19
25	13	22
26	13	25
27	13	28
28	13	31
29	13	34
30	13	38
31	13	41
32	13	44
33	13	47
34	13	50
35	24	0
36	24	3
37	24	6
38	24	9
39	24	13
40	24	16
41	24	19
42	24	22
43	24	25
44	24	28
45	24	31
46	24	34
47	24	38
48	24	41
49	24	44
50	24	47
51	24	50
52	30	0
53	30	3
54	30	6
55	30	9
56	30	13
57	30	16
58	30	19
59	30	22
60	30	25
61	38	0
62	38	3
63	38	6
64	38	9
65	38	13
66	38	16
67	38	19
68	38	22
69	38	25
70	2	25
71	4	25
72	6	25
73	9	25
74	11	25
75	15	50
76	17	50
77	19	50
78	21	50
79	23	50
80	26	25
81	28	25
82	32	25
83	34	25
84	36	25
